case,n,m,family,seed,configuration,macs,weight_density,kernel_words,kernel_sha256,input_words,cycles,cold,fetch,memory,wait,setup,scalar,retired,outputs
n4_m1_small_s1731_parallel_fused,4,1,small,1731,parallel_fused,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,58,158,15,18,12,3,10,15,1
n4_m1_full_s1729_software,4,1,full,1729,software,4,1.0,332,c1a216a61004d7966e4809f185a9b3a43a2a90015387e2c3a2aed82b21b065b4,8,804,904,268,302,0,0,234,268,1
n4_m1_full_s1729_iterative_staged,4,1,full,1729,iterative_staged,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,98,198,15,18,52,3,10,15,1
n4_m1_full_s1729_iterative_fused,4,1,full,1729,iterative_fused,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,90,190,15,18,44,3,10,15,1
n4_m1_full_s1729_parallel_fused,4,1,full,1729,parallel_fused,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,58,158,15,18,12,3,10,15,1
n4_m1_full_s1730_software,4,1,full,1730,software,4,1.0,332,c1a216a61004d7966e4809f185a9b3a43a2a90015387e2c3a2aed82b21b065b4,8,804,904,268,302,0,0,234,268,1
n4_m1_full_s1730_iterative_staged,4,1,full,1730,iterative_staged,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,98,198,15,18,52,3,10,15,1
n4_m1_full_s1730_iterative_fused,4,1,full,1730,iterative_fused,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,90,190,15,18,44,3,10,15,1
n4_m1_full_s1730_parallel_fused,4,1,full,1730,parallel_fused,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,58,158,15,18,12,3,10,15,1
n4_m1_full_s1731_software,4,1,full,1731,software,4,1.0,332,c1a216a61004d7966e4809f185a9b3a43a2a90015387e2c3a2aed82b21b065b4,8,792,892,264,296,0,0,232,264,1
n4_m1_full_s1731_iterative_staged,4,1,full,1731,iterative_staged,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,98,198,15,18,52,3,10,15,1
n4_m1_full_s1731_iterative_fused,4,1,full,1731,iterative_fused,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,90,190,15,18,44,3,10,15,1
n4_m1_full_s1731_parallel_fused,4,1,full,1731,parallel_fused,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,58,158,15,18,12,3,10,15,1
n4_m1_extrema_s1729_software,4,1,extrema,1729,software,4,1.0,332,c1a216a61004d7966e4809f185a9b3a43a2a90015387e2c3a2aed82b21b065b4,8,804,904,268,302,0,0,234,268,1
n4_m1_extrema_s1729_iterative_staged,4,1,extrema,1729,iterative_staged,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,98,198,15,18,52,3,10,15,1
n4_m1_extrema_s1729_iterative_fused,4,1,extrema,1729,iterative_fused,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,90,190,15,18,44,3,10,15,1
n4_m1_extrema_s1729_parallel_fused,4,1,extrema,1729,parallel_fused,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,58,158,15,18,12,3,10,15,1
n8_m1_zero_s1729_software,8,1,zero,1729,software,8,0.0,660,b48804a39d7da418dd4eda8a29611a4d722e288cc3c2306431cc7bf1abdb8c49,16,84,280,28,22,0,0,34,28,1
n8_m1_zero_s1729_iterative_staged,8,1,zero,1729,iterative_staged,8,0.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,186,382,27,34,104,3,18,27,1
n8_m1_zero_s1729_iterative_fused,8,1,zero,1729,iterative_fused,8,0.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,170,366,27,34,88,3,18,27,1
n8_m1_zero_s1729_parallel_fused,8,1,zero,1729,parallel_fused,8,0.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,106,302,27,34,24,3,18,27,1
n8_m1_sparse_s1729_software,8,1,sparse,1729,software,8,0.25,660,b48804a39d7da418dd4eda8a29611a4d722e288cc3c2306431cc7bf1abdb8c49,16,438,634,146,154,0,0,138,146,1
n8_m1_sparse_s1729_iterative_staged,8,1,sparse,1729,iterative_staged,8,0.25,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,186,382,27,34,104,3,18,27,1
n8_m1_sparse_s1729_iterative_fused,8,1,sparse,1729,iterative_fused,8,0.25,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,170,366,27,34,88,3,18,27,1
n8_m1_sparse_s1729_parallel_fused,8,1,sparse,1729,parallel_fused,8,0.25,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,106,302,27,34,24,3,18,27,1
n8_m1_sparse_s1730_software,8,1,sparse,1730,software,8,0.375,660,b48804a39d7da418dd4eda8a29611a4d722e288cc3c2306431cc7bf1abdb8c49,16,675,871,225,250,0,0,200,225,1
